animal_name,habitat,diet
Gemsbok,forest,omnivore
Palm squirrel,savanna,omnivore
"Bear, polar",forest,omnivore
Red sheep,ocean,carnivore
Black and white colobus,desert,herbivore
"Vulture, white-headed",tundra,herbivore
Yellow-necked spurfowl,ocean,carnivore
Green heron,forest,omnivore
"Falcon, peregrine",desert,omnivore
Mocking cliffchat,ocean,omnivore
Helmeted guinea fowl,ocean,omnivore
"Cat, jungle",ocean,omnivore
White-throated robin,tundra,omnivore
King vulture,tundra,omnivore
Klipspringer,desert,herbivore
"Gonolek, burchell's",savanna,omnivore
"Ibis, glossy",ocean,omnivore
North American river otter,forest,carnivore
"Dog, bush",forest,herbivore
"Francolin, coqui",savanna,carnivore
American crow,desert,herbivore
Arctic lemming,forest,omnivore
Mara,savanna,omnivore
Neotropic cormorant,savanna,carnivore
"Stork, woolly-necked",forest,carnivore
Emerald-spotted wood dove,ocean,herbivore
"Hedgehog, south african",savanna,carnivore
Small Indian mongoose,savanna,omnivore
"Vulture, white-headed",savanna,herbivore
Yellow-bellied marmot,desert,herbivore
"Wallaroo, common",ocean,herbivore
Blue peacock,savanna,omnivore
Monitor lizard (unidentified),savanna,omnivore
Cape clawless otter,savanna,carnivore
"Civet, common palm",ocean,herbivore
Meerkat,forest,herbivore
Red-headed woodpecker,forest,omnivore
Eastern grey kangaroo,forest,omnivore
Racer snake,forest,herbivore
Old world fruit bat (unidentified),desert,omnivore
"Jackrabbit, white-tailed",forest,omnivore
"Langur, hanuman",desert,carnivore
Cook's tree boa,tundra,omnivore
Common eland,forest,omnivore
Bleeding heart monkey,desert,herbivore
Rhesus macaque,desert,herbivore
Fork-tailed drongo,forest,herbivore
"Baboon, yellow",ocean,herbivore
"Squirrel, antelope ground",ocean,carnivore
Asian elephant,tundra,herbivore
Giraffe,ocean,omnivore
"Spider, wolf",savanna,carnivore
"Fox, grey",forest,omnivore
Slender-billed cockatoo,savanna,herbivore
Scaly-breasted lorikeet,ocean,herbivore
Desert kangaroo rat,forest,carnivore
"Goose, cereopsis",forest,carnivore
Ibex,ocean,herbivore
"Turkey, australian brush",forest,carnivore
"Antelope, sable",desert,omnivore
Greater sage grouse,savanna,herbivore
"Lemming, collared",desert,omnivore
Grey mouse lemur,forest,herbivore
"Wambenger, red-tailed",savanna,herbivore
Giant heron,forest,carnivore
"Ibis, puna",tundra,carnivore
"Swan, trumpeter",savanna,omnivore
Crested screamer,tundra,omnivore
"Pheasant, ring-necked",desert,carnivore
Sidewinder,ocean,herbivore
Laughing dove,ocean,carnivore
Savanna baboon,savanna,carnivore
"Porcupine, african",tundra,omnivore
"Goose, knob-nosed",tundra,omnivore
Crested barbet,forest,omnivore
Red howler monkey,tundra,carnivore
Cheetah,forest,herbivore
"White-eye, cape",forest,carnivore
"Eagle, tawny",ocean,omnivore
"Deer, white-tailed",tundra,herbivore
Eastern indigo snake,tundra,omnivore
"Spoonbill, european",tundra,carnivore
"Gull, southern black-backed",forest,herbivore
"Otter, north american river",tundra,omnivore
"Pelican, eastern white",desert,carnivore
"Deer, spotted",ocean,omnivore
"Trumpeter, green-winged",desert,carnivore
"Possum, western pygmy",forest,carnivore
Black-eyed bulbul,ocean,herbivore
"Chipmunk, least",ocean,herbivore
Feathertail glider,desert,omnivore
Slender loris,desert,herbivore
Southern elephant seal,forest,carnivore
Pronghorn,desert,herbivore
Dama wallaby,desert,herbivore
Vicuna,ocean,herbivore
Yellow-bellied marmot,savanna,herbivore
Small-spotted genet,ocean,omnivore
Striped dolphin,ocean,omnivore
Yellow-billed hornbill,tundra,omnivore
Bottle-nose dolphin,ocean,herbivore
Blue crane,forest,herbivore
Yellow-throated sandgrouse,forest,herbivore
"Possum, ring-tailed",tundra,herbivore
"Cormorant, little",savanna,herbivore
Snowy egret,ocean,herbivore
"Barbet, black-collared",ocean,herbivore
Vicuna,savanna,herbivore
"Bleu, red-cheeked cordon",savanna,carnivore
"Pintail, white-cheeked",savanna,omnivore
"Antelope, four-horned",desert,carnivore
"Mongoose, small indian",tundra,herbivore
Dingo,savanna,omnivore
"Grebe, little",desert,omnivore
Leadbeateri's ground hornbill,tundra,carnivore
Pied avocet,ocean,carnivore
Flying fox (unidentified),desert,omnivore
"Lizard, goanna",savanna,carnivore
Barrows goldeneye,ocean,herbivore
"Elephant, asian",tundra,omnivore
Crowned hawk-eagle,savanna,carnivore
"Siskin, yellow-rumped",desert,omnivore
"Duck, comb",desert,carnivore
Small-toothed palm civet,ocean,herbivore
Magnificent frigate bird,tundra,carnivore
"Bear, black",ocean,omnivore
"Tern, white-winged",tundra,carnivore
"Caracara, yellow-headed",desert,herbivore
Greater kudu,desert,carnivore
Ring-tailed coatimundi,tundra,carnivore
"Buffalo, wild water",savanna,omnivore
Pine siskin,desert,herbivore
Gaur,ocean,herbivore
"Bird, bare-faced go away",ocean,omnivore
"Sheathbill, snowy",savanna,omnivore
"Kangaroo, western grey",desert,herbivore
Paca,savanna,herbivore
Vicuna,tundra,herbivore
Coke's hartebeest,desert,omnivore
Great horned owl,desert,carnivore
Bonnet macaque,forest,omnivore
Mexican boa,tundra,omnivore
Northern elephant seal,desert,omnivore
North American river otter,desert,omnivore
Barrows goldeneye,tundra,carnivore
"Cat, long-tailed spotted",ocean,herbivore
"Flamingo, greater",forest,herbivore
Eastern indigo snake,forest,carnivore
"Gull, silver",forest,herbivore
"Rabbit, eastern cottontail",tundra,carnivore
Crested porcupine,desert,carnivore
"Lion, asian",desert,herbivore
"Bettong, brush-tailed",tundra,omnivore
American beaver,tundra,carnivore
"Crow, pied",desert,herbivore
"Duck, comb",desert,carnivore
South American puma,tundra,carnivore
Bateleur eagle,tundra,herbivore
"Deer, savannah",savanna,omnivore
Sacred ibis,savanna,herbivore
"Duck, comb",savanna,omnivore
"Gorilla, western lowland",desert,omnivore
Lapwing (unidentified),ocean,omnivore
Olive baboon,tundra,omnivore
American beaver,ocean,omnivore
"Gull, swallow-tail",savanna,omnivore
Chacma baboon,savanna,herbivore
Asian water dragon,tundra,herbivore
"Egret, cattle",forest,omnivore
"Crane, black-crowned",savanna,carnivore
Sea birds (unidentified),savanna,carnivore
"Cat, jungle",ocean,herbivore
Laughing kookaburra,tundra,herbivore
Malay squirrel (unidentified),tundra,carnivore
"Bettong, brush-tailed",desert,carnivore
"Monkey, rhesus",ocean,carnivore
Red-billed tropic bird,savanna,omnivore
Polar bear,desert,omnivore
"Bird, secretary",tundra,herbivore
European spoonbill,savanna,omnivore
"Sungazer, yellow-brown",desert,omnivore
"Turaco, violet-crested",ocean,herbivore
Yellow baboon,forest,herbivore
"Waterbuck, common",savanna,herbivore
"Porcupine, african",savanna,herbivore
"Polecat, african",desert,omnivore
African jacana,desert,omnivore
Tayra,desert,carnivore
Black bear,savanna,omnivore
"Ferret, black-footed",ocean,herbivore
Thirteen-lined squirrel,forest,carnivore
"Hen, sage",ocean,herbivore
Barrows goldeneye,desert,omnivore
American badger,tundra,herbivore
"Lizard, giant girdled",tundra,herbivore
Scarlet macaw,forest,carnivore
"Cat, african wild",forest,carnivore
"Starling, superb",forest,herbivore
"Eagle, white-bellied sea",desert,herbivore
African polecat,savanna,omnivore
Tiger,forest,carnivore
Secretary bird,ocean,omnivore
"Deer, savannah",forest,carnivore
Yellow-billed hornbill,ocean,omnivore
"Duck, white-faced whistling",tundra,herbivore
Red-necked phalarope,forest,omnivore
"Goat, mountain",tundra,omnivore
Capybara,desert,omnivore
"Falcon, prairie",savanna,omnivore
"Heron, goliath",ocean,omnivore
"Duiker, gray",ocean,carnivore
"Squirrel, smith's bush",forest,omnivore
Blue and gold macaw,forest,herbivore
Jaguar,forest,omnivore
"Ibis, glossy",desert,herbivore
Chimpanzee,savanna,carnivore
Asian openbill,ocean,omnivore
"Gull, swallow-tail",ocean,carnivore
Black-fronted bulbul,forest,carnivore
Galah,ocean,herbivore
Monitor lizard (unidentified),savanna,herbivore
"Monkey, red howler",forest,herbivore
Canadian river otter,savanna,carnivore
"Opossum, american virginia",savanna,omnivore
Tyrant flycatcher,forest,omnivore
Galapagos sea lion,tundra,herbivore
Guanaco,ocean,omnivore
"Goose, cereopsis",forest,omnivore
Bleeding heart monkey,desert,omnivore
"Cormorant, king",savanna,herbivore
"Dunnart, fat-tailed",desert,omnivore
"Hornbill, southern ground",savanna,omnivore
Alpaca,ocean,carnivore
African pied wagtail,desert,carnivore
Long-nosed bandicoot,tundra,omnivore
"Hornbill, southern ground",savanna,herbivore
Common grenadier,tundra,carnivore
Little heron,desert,omnivore
"Openbill, asian",savanna,herbivore
Harbor seal,ocean,herbivore
Pied cormorant,savanna,herbivore
Western lowland gorilla,tundra,omnivore
Snowy sheathbill,forest,carnivore
Praying mantis (unidentified),ocean,omnivore
Striped skunk,savanna,carnivore
Common palm civet,forest,omnivore
Blue waxbill,ocean,herbivore
Tasmanian devil,forest,omnivore
Red meerkat,ocean,omnivore
"Dove, emerald-spotted wood",desert,herbivore
"Mynah, indian",savanna,omnivore
Blesbok,ocean,omnivore
"Mongoose, eastern dwarf",ocean,omnivore
California sea lion,desert,carnivore
"Deer, savannah",savanna,herbivore
"Wolf, common",savanna,omnivore
Elegant crested tinamou,ocean,herbivore
Little grebe,savanna,omnivore
"Possum, ring-tailed",tundra,omnivore
Stone sheep,tundra,carnivore
African buffalo,desert,herbivore
"Jaeger, long-tailed",desert,carnivore
"Cat, jungle",ocean,omnivore
Small-clawed otter,savanna,omnivore
Common nighthawk,ocean,omnivore
"Dolphin, bottle-nose",desert,carnivore
White-browed sparrow weaver,ocean,herbivore
Nilgai,tundra,herbivore
Oriental white-backed vulture,desert,carnivore
Red sheep,tundra,omnivore
Cougar,desert,carnivore
"Skunk, striped",desert,herbivore
King cormorant,desert,omnivore
"Flicker, field",desert,herbivore
"Peccary, collared",forest,carnivore
Cape raven,tundra,herbivore
"Stork, painted",tundra,herbivore
Ibex,savanna,carnivore
"Roadrunner, greater",tundra,herbivore
Galapagos sea lion,desert,carnivore
"Sloth, two-toed",tundra,omnivore
"Zebra, plains",tundra,omnivore
"Nighthawk, common",forest,carnivore
Common zebra,savanna,herbivore
Reindeer,savanna,herbivore
Tasmanian devil,tundra,omnivore
Rock dove,savanna,omnivore
"Tarantula, salmon pink bird eater",tundra,herbivore
"Cat, miner's",ocean,omnivore
"Monster, gila",savanna,omnivore
"Cormorant, great",forest,herbivore
"Bat, little brown",forest,carnivore
Feathertail glider,forest,omnivore
African bush squirrel,forest,omnivore
"Squirrel, antelope ground",forest,omnivore
Gerbil (unidentified),savanna,carnivore
"Beaver, american",ocean,carnivore
Pine squirrel,ocean,herbivore
Komodo dragon,forest,carnivore
North American red fox,savanna,omnivore
Clark's nutcracker,desert,carnivore
"Wallaby, river",savanna,omnivore
Klipspringer,desert,omnivore
"Shrike, crimson-breasted",tundra,carnivore
"Alligator, mississippi",tundra,omnivore
Black-backed jackal,savanna,omnivore
Sea birds (unidentified),tundra,herbivore
"Woodpecker, red-headed",forest,herbivore
Rufous-collared sparrow,desert,herbivore
Malay squirrel (unidentified),savanna,herbivore
"Ibis, glossy",forest,herbivore
"Heron, grey",ocean,omnivore
"Anteater, australian spiny",savanna,carnivore
"Bettong, brush-tailed",tundra,herbivore
"Eland, common",desert,omnivore
Western lowland gorilla,savanna,herbivore
Eastern cottontail rabbit,savanna,omnivore
Arctic hare,savanna,herbivore
Indian red admiral,savanna,omnivore
"Flycatcher, tyrant",forest,herbivore
Goliath heron,ocean,carnivore
Tasmanian devil,savanna,carnivore
Water monitor,desert,omnivore
Guanaco,ocean,herbivore
"Squirrel, red",savanna,omnivore
Marine iguana,forest,omnivore
"Coot, red-knobbed",savanna,omnivore
Yellow-billed stork,ocean,omnivore
Pied butcher bird,savanna,omnivore
"Zorro, common",desert,carnivore
Tyrant flycatcher,savanna,herbivore
Laughing kookaburra,forest,herbivore
Arboral spiny rat,desert,omnivore
Frog (unidentified),savanna,herbivore
"Cat, cape wild",ocean,herbivore
"Jackal, golden",desert,herbivore
Tyrant flycatcher,savanna,herbivore
"Heron, yellow-crowned night",desert,carnivore
Puma,tundra,herbivore
"Sheep, stone",savanna,carnivore
Steenbok,ocean,omnivore
"Lion, south american sea",desert,omnivore
Urial,savanna,omnivore
"Rattlesnake, horned",forest,omnivore
"Monkey, black spider",desert,carnivore
"Booby, masked",forest,carnivore
"Squirrel, arctic ground",ocean,herbivore
Turtle (unidentified),desert,carnivore
"Cat, jungle",tundra,herbivore
"Porcupine, crested",desert,herbivore
White-rumped vulture,tundra,carnivore
Common genet,ocean,omnivore
"Ass, asiatic wild",ocean,carnivore
Little brown dove,desert,omnivore
Indian mynah,tundra,herbivore
"Stork, white",desert,herbivore
"Baboon, chacma",tundra,omnivore
"Hornbill, southern ground",desert,carnivore
"Cormorant, pied",tundra,carnivore
"Hawk, red-tailed",savanna,herbivore
"Goose, cereopsis",forest,herbivore
Brown pelican,forest,carnivore
Red-capped cardinal,savanna,herbivore
Tyrant flycatcher,desert,carnivore
Sacred ibis,savanna,omnivore
Blue peacock,desert,omnivore
Thirteen-lined squirrel,savanna,herbivore
King vulture,desert,herbivore
Common langur,desert,herbivore
"Dolphin, common",tundra,carnivore
Fork-tailed drongo,tundra,herbivore
"Chickadee, black-capped",ocean,carnivore
European stork,forest,carnivore
"Cormorant, flightless",desert,carnivore
Miner's cat,tundra,herbivore
African black crake,forest,omnivore
"Tern, white-winged black",forest,omnivore
"Goose, cape barren",ocean,carnivore
"Gazelle, thomson's",forest,herbivore
"Cobra, cape",forest,carnivore
"Reedbuck, bohor",ocean,omnivore
Cape starling,tundra,carnivore
Coke's hartebeest,tundra,omnivore
Kaffir cat,savanna,omnivore
"Bat, asian false vampire",ocean,omnivore
Agile wallaby,forest,carnivore
Agama lizard (unidentified),ocean,omnivore
"Fox, silver-backed",tundra,carnivore
Carpet python,tundra,carnivore
"Moorhen, purple",desert,omnivore
"Crocodile, nile",forest,carnivore
Little brown bat,desert,herbivore
Urial,savanna,omnivore
Groundhog,savanna,carnivore
"Porcupine, crested",savanna,omnivore
"Eagle, african fish",desert,omnivore
"Lion, steller sea",desert,omnivore
Savannah deer (unidentified),savanna,omnivore
"Owl, madagascar hawk",forest,herbivore
"Armadillo, seven-banded",tundra,herbivore
"Squirrel, pine",ocean,carnivore
Red hartebeest,savanna,carnivore
Bateleur eagle,forest,carnivore
Stanley crane,savanna,carnivore
Horned lark,ocean,carnivore
"Vulture, oriental white-backed",forest,carnivore
Brown capuchin,savanna,omnivore
